Counter	Date	Temperature [°C]	Humidity [%RH]	Pressure [hPa]	Gas_R [Ohm]
0	2017-11-19T00:28:25.886114104Z	18.38	43.15	980.36	3269
0	2017-11-19T00:30:11.242872073Z	18.31	45	980.38	2544
1	2017-11-19T00:45:11.1945072Z	18.02	45.25	980.4	1179
2	2017-11-19T01:00:11.450923042Z	17.7	45.99	980.48	1167
3	2017-11-19T01:15:11.407529109Z	17.32	45.51	980.48	1177
4	2017-11-19T01:30:11.37267056Z	16.96	46.01	980.44	1199
5	2017-11-19T01:45:11.353315634Z	16.73	46.89	980.4	1199
6	2017-11-19T02:00:11.330342269Z	16.5	47.15	980.24	1217
7	2017-11-19T02:15:11.311856626Z	16.46	47.19	980.08	1215
8	2017-11-19T02:30:11.276571465Z	16.37	47.28	979.98	1227
9	2017-11-19T02:45:11.234077769Z	16.17	48.77	979.93	1246
10	2017-11-19T03:00:11.18933877Z	15.98	49.66	979.87	1265
11	2017-11-19T03:15:11.189330414Z	15.83	49.38	979.77	1285
12	2017-11-19T03:30:11.106471894Z	15.72	49.34	979.71	1303
13	2017-11-19T03:45:11.091081014Z	15.66	49.36	979.69	1331
14	2017-11-19T04:00:11.018839733Z	15.4	49.67	979.61	1356
15	2017-11-19T04:15:10.976218379Z	15.28	49.64	979.51	1369
16	2017-11-19T04:30:10.925454084Z	15.21	49.66	979.37	1374
17	2017-11-19T04:45:10.883011396Z	15.08	50.09	979.24	1400
18	2017-11-19T05:00:10.839025456Z	15.02	49.96	979.18	1402
19	2017-11-19T05:15:10.791999181Z	14.9	50.39	979.08	1433
20	2017-11-19T05:30:10.747466238Z	14.84	50.55	979.1	1457
21	2017-11-19T05:45:10.698752662Z	14.79	51.28	979	1488
22	2017-11-19T06:00:10.654520149Z	14.83	51.23	978.94	1481
23	2017-11-19T06:15:10.616740706Z	14.73	51.18	978.86	1500
24	2017-11-19T06:30:10.563964392Z	14.63	51.08	978.86	1527
25	2017-11-19T06:45:10.527035761Z	14.72	51.08	978.9	1531
26	2017-11-19T07:00:10.481701498Z	14.62	51.23	978.98	1558
27	2017-11-19T07:15:10.450052347Z	14.62	51.81	979.04	1547
28	2017-11-19T07:30:10.400036074Z	14.58	51.46	979.08	1568
29	2017-11-19T07:45:10.351304737Z	14.61	51.33	979.08	1626
30	2017-11-19T08:00:10.316030924Z	14.71	50.78	979.12	1626
31	2017-11-19T08:15:10.265904687Z	14.83	51.1	979.18	1609
32	2017-11-19T08:30:10.225971031Z	14.93	50.43	979.22	1590
33	2017-11-19T08:45:10.184208058Z	15.02	51.01	979.24	1601
34	2017-11-19T09:00:10.13619287Z	15.24	50.22	979.22	1594
35	2017-11-19T09:15:10.096224322Z	15.46	49.12	979.33	1578
0	2017-11-19T09:25:02.750364716Z	14.57	47.09	979.39	4898
0	2017-11-19T09:25:15.740755787Z	14.6	46.93	979.37	4631
